Year,Country,NUTS2_Code,Econ_Freedom,Pop,GDP_Millions_Euro,Total_Household_Income,Tourism_NightStays,Flight_Arrivals,Year_PostBudget,Tourism_Employed
2008,UK,UKL1,79.4,1912884,"37,394.05","37,356.83","11,796,276",:,0,
2009,UK,UKL1,79,1919910,"32,553.36","33,143.96","11,352,667",:,0,
2010,UK,UKL1,76.5,1924712,"35,154.02","28,451.22","9,714,184",:,0,
2011,UK,UKL1,74.5,1930295,"36,520.43","30,297.15","9,933,840",:,0,
2012,UK,UKL1,74.1,1936308,"40,352.23","30,259.06","16,000,000",:,0,
2013,UK,UKL1,74.8,1940620,"39,803.41","32,856.61","15,497,000",:,0,
2014,UK,UKL1,74.9,1944635,"43,249.64","32,113.35",:,:,0,
2015,UK,UKL1,75.8,1948946,"49,329.03","34,858.52",:,:,0,
2016,UK,UKL1,76.4,1954376,"44,881.61","39,640.53","15,353,950",:,0,
2017,UK,UKL1,76.4,1960764,"43,269.87","35,995.02",:,:,0,
2007,UK,UKL2,79.9,1093189,"35,337.37",:,"2,670,581","1,049",0,
2008,UK,UKL2,79.4,1102960,"29,705.97","25,486.59","3,442,261",989,0,
2009,UK,UKL2,79,1112230,"26,333.29","22,659.07","2,742,986",815,0,
2010,UK,UKL2,76.5,1119494,"28,134.35","19,660.48","2,062,950",700,0,
2011,UK,UKL2,74.5,1126355,"29,343.84","21,076.72","2,740,194",604,0,
2012,UK,UKL2,74.1,1132607,"32,598.76","21,109.60","3,301,000",509,0,
2013,UK,UKL2,74.8,1137738,"32,329.97","22,507.36","3,871,000",530,0,
2014,UK,UKL2,74.9,1142724,"34,658.10","21,839.36",:,511,0,
2015,UK,UKL2,75.8,1146757,"40,091.80","23,704.83",:,582,0,
2016,UK,UKL2,76.4,1151846,"37,641.54","27,092.51","4,448,150",675,0,
2017,UK,UKL2,76.4,1158491,"36,627.60","24,724.55",:,732,0,
2007,UK,UKM5,79.9,453837,"24,358.12",:,"1,704,058","1,707",0,
2008,UK,UKM5,79.4,458850,"23,022.61","14,323.40","1,501,905","1,649",0,
2009,UK,UKM5,79,463461,"20,275.91","13,069.09","1,485,716","1,493",0,
2010,UK,UKM5,76.5,468596,"21,504.30","11,750.04","1,108,971","1,380",0,
2011,UK,UKM5,74.5,473634,"22,547.97","12,693.34","1,228,093","1,540",0,
2012,UK,UKM5,74.1,478294,"25,206.69","13,175.31","1,689,000","1,661",0,
2013,UK,UKM5,74.8,482660,"25,200.61","14,676.78","2,570,000","1,714",0,
2014,UK,UKM5,74.9,487150,"27,795.70","14,976.77",:,"1,856",0,
2015,UK,UKM5,75.8,490875,"29,659.78","16,430.06",:,"1,730",1,
2016,UK,UKM5,76.4,492173,"25,278.67","18,364.01","2,477,080","1,471",1,
2017,UK,UKM5,76.4,491323,"23,903.20","15,789.60",:,"1,540",1,
2007,UK,UKM6,79.9,453028,"14,709.30",:,"6,317,465",733,0,
2008,UK,UKM6,79.4,457438,"13,175.21","10,268","5,588,817",724,0,
2009,UK,UKM6,79,460799,"11,811.59","9,569.45","6,337,281",680,0,
2010,UK,UKM6,76.5,463388,"12,436.84","8,537.04","4,894,203",647,0,
2011,UK,UKM6,74.5,465794,"12,923.27","9,061.18","4,702,166",690,0,
2012,UK,UKM6,74.1,466605,"14,098.59","8,826.87","7,333,000",695,0,
2013,UK,UKM6,74.8,466737,"14,254.77","9,694.89","9,175,000",751,0,
2014,UK,UKM6,74.9,467326,"15,341.36","9,632.66",:,775,0,
2015,UK,UKM6,75.8,467889,"17,350.68","10,365.15",:,791,0,
2016,UK,UKM6,76.4,468903,"15,799.51","11,803.56","5,453,790",786,0,
2017,UK,UKM6,76.4,469420,"14,675.96","10,655.98",:,853,0,
2007,UK,UKM7,79.9,1953468,"69,926.78",:,"8,169,872","4,560",0,
2008,UK,UKM7,79.4,1969549,"60,182.13","49,185.83","7,694,303","4,525",0,
2009,UK,UKM7,79,1983494,"54,341.45","43,452.50","6,643,132","4,562",0,
2010,UK,UKM7,76.5,1997342,"56,342.48","37,861.85","6,768,790","4,340",0,
2011,UK,UKM7,74.5,2014403,"56,915.80","40,028.05","6,443,837","4,722",0,
2012,UK,UKM7,74.1,1915517,"63,168.46","40,614.91","9,784,000","4,634",0,
2013,UK,UKM7,74.8,1924614,"63,058.20","44,007.56","8,103,000","4,910",0,
2014,UK,UKM7,74.9,1933992,"69,260.59","43,539.50",:,"5,098",0,
2015,UK,UKM7,75.8,1946564,"79,359.29","47,243.51",:,"5,574",0,
2016,UK,UKM7,76.4,1961928,"74,040.35","54,316.24","8,940,030","6,203",0,
2017,UK,UKM7,76.4,1976392,"71,976.84","49,653.54",:,"6,726",0,
2007,UK,UKM8,79.9,1444165.957,"46,219.27",:,3337661,"4,361",0,
2008,UK,UKM8,79.4,1450087.63,"41,047.97","34,650.08",2646448.5,"4,068",0,
2009,UK,UKM8,79,1455779.196,"36,320.89","30,640.13",3233191.5,"3,609",0,
2010,UK,UKM8,76.5,1460864.283,"37,146.14","26,881.25",2628113,"3,263",0,
2011,UK,UKM8,74.5,1466866.022,"38,109.06","28,249.28",2207814.5,"3,431",0,
2012,UK,UKM8,74.1,1499887,"41,764.71","28,021.55",2746000,"3,574",0,
2013,UK,UKM8,74.8,1500987,"41,826.99","30,148.18",2561000,"3,679",0,
2014,UK,UKM8,74.9,1504303,"46,922.01","29,660.09",:,"3,858",0,
2015,UK,UKM8,75.8,1510438,"52,379.29","32,345.29",:,"4,357",0,
2016,UK,UKM8,76.4,1520628,"47,841.96","37,253.53",3919335,"4,667",0,
2017,UK,UKM8,76.4,1531216,"46,574.31","34,322.88",:,"4,951",0,
2007,UK,UKM9,79.9,931238.0478,"19,386.88",:,3337661,"1,211",0,
2008,UK,UKM9,79.4,935056.5065,"17,392.55","21,894.74",2646448.5,"1,210",0,
2009,UK,UKM9,79,938726.5848,"15,045.48","19,163.92",3233191.5,910,0,
2010,UK,UKM9,76.5,942005.5891,"16,008.17","16,772.41",2628113,832,0,
2011,UK,UKM9,74.5,945875.6761,"16,229.58","17,770.45",2207814.5,651,0,
2012,UK,UKM9,74.1,946492,"17,696","17,820.87",2746000,537,0,
2013,UK,UKM9,74.8,945666,"17,924.91","19,209.48",2561000,579,0,
2014,UK,UKM9,74.9,944842,"20,011.73","18,806.75",:,460,0,
2015,UK,UKM9,75.8,944507,"21,878.22","20,430.53",:,304,0,
2016,UK,UKM9,76.4,945233,"20,404.96","22,737.82",3919335,335,0,
2017,UK,UKM9,76.4,946372,"20,489.56","20,674.49",:,349,0,
2007,UK,UKN0,79.9,1752366,"51,557.19",:,"2,220,205","3,918",0,
2008,UK,UKN0,79.4,1770363,"44,378.55","37,259.63","2,403,804","4,109",0,
2009,UK,UKN0,79,1786187,"38,762.33","32,552.26","2,016,457","3,742",0,
2010,UK,UKN0,76.5,1799019,"40,500","28,670.97","2,404,647","3,540",0,
2011,UK,UKN0,74.5,1809539,"41,390.85","30,433.33","2,358,067","3,441",0,
2012,UK,UKN0,74.1,1818995,"45,948.35","30,851.24","3,088,000","3,476",0,
2013,UK,UKN0,74.8,1826761,"44,967.18","33,072.07","3,355,000","3,469",0,
2014,UK,UKN0,74.9,1835290,"48,919.43","32,496.08",:,"3,462",0,
2015,UK,UKN0,75.8,1846229,"55,971.38","35,248.47",:,"3,681",0,
2016,UK,UKN0,76.4,1857048,"52,320.13","40,626.24","4,872,220","4,048",0,
2017,UK,UKN0,76.4,1866638,"50,888.58","36,970.20",:,"4,284",0,
,,,,,,:,,,,
