freq;indic_de;geo\TIME_PERIOD,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;CNMIGRATRT;EL53,-0.3 ,0.7 ,1.2 ,0.4 ,-0.4 ,-3.8 ,-6.2 ,-5.6 ,-4.6 ,-4.7 ,-4.2 ,-3.2 
A;CNMIGRATRT;EL54,4.3 ,4.0 ,4.0 ,3.5 ,2.4 ,-0.8 ,-3.3 ,-2.6 ,-2.1 ,-2.2 ,-0.4 ,2.5 
A;CNMIGRATRT;EL61,2.1 ,2.2 ,2.5 ,2.5 ,1.6 ,-0.8 ,-2.8 ,-2.4 ,-2.0 ,-2.1 ,-0.8 ,-0.6 
A;CNMIGRATRT;EL62,3.8 ,3.4 ,3.9 ,3.7 ,3.3 ,1.1 ,-1.0 ,-0.3 ,0.0 ,-0.1 ,0.2 ,0.4 
A;CNMIGRATRT;EL63,-0.7 ,-0.5 ,-0.6 ,-0.7 ,-1.4 ,-3.1 ,-5.2 ,-4.6 ,-3.9 ,-4.0 ,-3.3 ,-2.8 
A;CNMIGRATRT;EL64,2.6 ,3.3 ,4.5 ,5.4 ,4.9 ,3.2 ,1.2 ,1.7 ,1.3 ,1.3 ,4.1 ,4.9 
A;CNMIGRATRT;EL65,3.4 ,3.7 ,4.5 ,4.5 ,4.2 ,2.5 ,0.7 ,1.2 ,1.3 ,1.4 ,1.4 ,1.7 
A;CNMIGRATRT;ES11,6.9 ,8.0 ,6.9 ,4.6 ,3.1 ,2.4 ,-0.1 ,-1.5 ,-0.8 ,-0.8 ,1.0 ,2.4 
A;CNMIGRATRT;ES12,6.1 ,9.9 ,9.1 ,5.0 ,3.5 ,3.1 ,-0.9 ,-2.6 ,-2.7 ,-1.8 ,0.2 ,0.4 
A;CNMIGRATRT;ES13,13.1 ,16.3 ,12.1 ,6.4 ,3.8 ,3.0 ,-2.7 ,-2.7 ,-1.7 ,-2.0 ,1.2 ,2.8 
A;CNMIGRATRT;ES21,6.3 ,7.2 ,5.9 ,1.9 ,0.8 ,0.1 ,-3.6 ,-4.3 ,-0.6 ,0.8 ,2.9 ,3.7 
A;CNMIGRATRT;ES22,15.2 ,20.4 ,14.2 ,6.4 ,3.6 ,2.1 ,-3.8 ,-5.1 ,-1.1 ,1.2 ,4.2 ,5.6 
A;CNMIGRATRT;ES23,16.4 ,24.5 ,9.2 ,-1.4 ,1.3 ,-0.6 ,-7.7 ,-10.9 ,-5.1 ,-1.3 ,0.4 ,2.4 
A;CNMIGRATRT;ES24,16.7 ,24.1 ,12.8 ,1.2 ,0.3 ,0.3 ,-2.8 ,-4.0 ,-2.1 ,-3.7 ,0.0 ,0.6 
A;CNMIGRATRT;ES30,14.9 ,19.1 ,10.2 ,1.8 ,-1.9 ,0.1 ,-5.8 ,-9.3 ,-2.4 ,3.3 ,5.4 ,9.1 
A;CNMIGRATRT;ES41,10.3 ,13.8 ,5.3 ,1.9 ,1.8 ,-0.2 ,-3.9 ,-5.3 ,-3.1 ,-4.7 ,-2.8 ,-1.6 
A;CNMIGRATRT;ES42,26.1 ,28.9 ,14.5 ,6.5 ,4.8 ,1.7 ,-6.1 ,-9.6 ,-6.0 ,-5.9 ,-3.2 ,-2.5 
A;CNMIGRATRT;ES43,6.7 ,7.9 ,4.3 ,4.9 ,3.1 ,2.4 ,-1.3 ,-2.2 ,-2.9 ,-3.7 ,-4.6 ,-3.7 
A;CNMIGRATRT;ES51,16.4 ,18.7 ,11.8 ,1.5 ,0.7 ,0.1 ,-6.5 ,-10.1 ,-4.0 ,0.8 ,3.7 ,6.3 
A;CNMIGRATRT;ES52,22.4 ,23.0 ,7.3 ,-0.8 ,-0.4 ,0.4 ,-5.6 ,-6.9 ,-4.0 ,-1.3 ,0.7 ,3.1 
A;CNMIGRATRT;ES53,30.8 ,32.2 ,20.9 ,8.6 ,3.4 ,5.0 ,5.8 ,2.6 ,5.6 ,7.3 ,11.2 ,12.1 
A;CNMIGRATRT;ES61,11.1 ,12.6 ,7.3 ,4.0 ,3.4 ,2.6 ,-0.3 ,-2.4 ,-0.6 ,-0.5 ,-0.6 ,-0.3 
A;CNMIGRATRT;ES62,19.2 ,18.0 ,9.3 ,2.4 ,-1.7 ,-3.0 ,-4.1 ,-4.2 ,-2.7 ,-1.4 ,1.3 ,-0.7 
A;CNMIGRATRT;ES63,10.8 ,6.6 ,13.3 ,22.6 ,20.8 ,19.0 ,0.6 ,-5.0 ,-8.0 ,-7.5 ,-2.0 ,-3.6 
A;CNMIGRATRT;ES64,17.5 ,22.8 ,18.3 ,24.3 ,24.1 ,24.3 ,9.5 ,-9.5 ,-5.2 ,-9.4 ,-9.3 ,-12.8 
A;CNMIGRATRT;ES70,20.0 ,19.9 ,13.1 ,6.7 ,6.9 ,8.3 ,7.7 ,3.5 ,4.4 ,3.8 ,8.7 ,9.9 
A;CNMIGRATRT;FI19,2.0 ,2.9 ,2.4 ,2.6 ,2.3 ,2.8 ,2.6 ,2.2 ,1.8 ,1.3 ,1.9 ,1.2 
A;CNMIGRATRT;FI1B,5.4 ,6.2 ,6.7 ,5.6 ,4.8 ,6.2 ,7.1 ,7.5 ,7.2 ,6.8 ,7.9 ,7.8 
A;CNMIGRATRT;FI1C,2.7 ,2.8 ,3.2 ,2.8 ,3.1 ,2.6 ,2.5 ,2.4 ,1.3 ,0.7 ,1.7 ,1.1 
A;CNMIGRATRT;FI1D,-2.4 ,-2.0 ,-1.4 ,-0.7 ,-0.4 ,-0.1 ,-0.1 ,0.1 ,-0.3 ,-0.9 ,-0.5 ,-2.2 
A;CNMIGRATRT;FI20,4.4 ,7.1 ,9.5 ,9.3 ,7.9 ,12.0 ,6.3 ,5.1 ,7.6 ,2.7 ,8.1 ,7.9 
A;CNMIGRATRT;FR10,-4.1 ,-4.3 ,-3.5 ,-4.5 ,-3.9 ,-5.5 ,-4.0 p,-3.4 ,-4.8 ,-5.8 ,-5.6 ,-5.7 
A;CNMIGRATRT;FR21,-2.6 ,-4.1 ,-2.8 ,-4.1 ,-2.6 ,-0.2 ,-2.1 p,-1.6 ,-2.7 p,-2.1 p,-2.1 p,: 
