"TIME","GEO","TRA_MEAS","UNIT","Value","Flag and Footnotes"
"2008","FRK1","Passengers carried (arrival)","Thousand passengers","269",""
"2008","FRK2","Passengers carried (arrival)","Thousand passengers","4,318",""
"2008","FRL0","Passengers carried (arrival)","Thousand passengers","8,963",""
"2008","FRM0","Passengers carried (arrival)","Thousand passengers","1,322",""
"2008","FRY1","Passengers carried (arrival)","Thousand passengers","1,124",""
"2008","FRY2","Passengers carried (arrival)","Thousand passengers","787",""
"2008","FRY3","Passengers carried (arrival)","Thousand passengers","191",""
"2008","FRY4","Passengers carried (arrival)","Thousand passengers","858",""
"2008","FRY5","Passengers carried (arrival)","Thousand passengers",":",""
"2008","FR2","Passengers carried (arrival)","Thousand passengers",":",""
"2008","FR3","Passengers carried (arrival)","Thousand passengers",":",""
"2008","FR4","Passengers carried (arrival)","Thousand passengers",":",""
"2008","FR5","Passengers carried (arrival)","Thousand passengers",":",""
"2008","FR6","Passengers carried (arrival)","Thousand passengers",":",""
"2008","FR7","Passengers carried (arrival)","Thousand passengers",":",""
"2008","FR8","Passengers carried (arrival)","Thousand passengers",":",""
"2008","FRA","Passengers carried (arrival)","Thousand passengers",":",""
"2008","HR03","Passengers carried (arrival)","Thousand passengers","1,407",""
"2008","HR04","Passengers carried (arrival)","Thousand passengers","1,093",""
"2008","ITC1","Passengers carried (arrival)","Thousand passengers","1,702",""
"2008","ITC2","Passengers carried (arrival)","Thousand passengers",":",""
"2008","ITC3","Passengers carried (arrival)","Thousand passengers","609",""
"2008","ITC4","Passengers carried (arrival)","Thousand passengers","17,548",""
